,index,file_name,zero_angle,x_cms,y_cms,z_cms,delta_x,delta_y
3391,3391,598csv/1484745/1496503,9.0,132.0677161,48.91574151,165.5531345,-3.412563446,0.51661918
1674,1674,598csv/1484730/1493681,7.0,118.3342406,55.31654901,143.7142128,-0.032172206,0.51661918
2790,2790,598csv/1484740/1494908,10.0,121.8720917,69.41090643,152.2159315,-1.540240994,0.51661918
1292,1292,598csv/1484727/1493299,10.0,126.6127282,51.61778875,150.6509048,-0.070530336,0.861031966
172,172,598csv/1484718/1492161,7.0,129.4908526,47.87736554,152.3987882,-0.003700749,0.51661918
1633,1633,598csv/1484730/1493640,25.0,126.4197856,55.66956855,140.4721215,-0.058806795,0.0
3791,3791,598csv/1484748/1497270,32.0,125.888987,49.27341118,131.6074968,-2.11704462,0.344412787
594,594,598csv/1484721/1492593,9.0,122.723999,44.18474879,145.1158378,-0.038033977,0.688825573
4368,4368,598csv/1484753/1499868,10.0,138.5649312,52.5667649,116.0234447,-2.268977931,0.51661918
3819,3819,598csv/1484748/1497298,5.0,145.7230673,53.25632875,117.7191792,-2.088478618,0.51661918
4954,4954,598csv/1484758/1500514,9.0,149.3754419,34.47329703,116.9140632,-5.872116453,0.51661918
3804,3804,598csv/1484748/1497283,12.0,131.5640212,47.5882858,115.8375392,-2.122663276,0.51661918
2208,2208,598csv/1484735/1494257,9.0,125.2018433,59.95868425,154.5544891,0.176758045,0.51661918
4681,4681,598csv/1484756/1500236,7.0,140.7564157,45.85759731,110.6794001,-6.388276416,0.51661918
5008,5008,598csv/1484758/1500571,35.0,121.6821454,30.28377412,107.3517564,-5.945685725,0.51661918
2001,2001,598csv/1484733/1494049,7.0,125.3187122,54.03977337,148.8767026,0.04646196,0.172206393
2285,2285,598csv/1484736/1494334,20.0,127.5265357,55.45290068,137.7153448,0.182187611,0.51661918
4909,4909,598csv/1484757/1500467,34.0,117.2484619,29.08475038,98.65489137,-5.962906365,0.51661918
3640,3640,598csv/1484747/1496761,9.0,123.2328695,46.71426411,159.571434,-3.33598225,0.51661918
479,479,598csv/1484720/1492478,14.0,125.4194956,43.54457096,152.5191728,0.080741162,0.0
3692,3692,598csv/1484747/1497168,7.0,120.5670511,46.44386326,156.0775124,-2.197367084,0.51661918
2034,2034,598csv/1484733/1494082,24.0,128.6746137,49.17301267,120.1328484,0.065033238,0.51661918
4842,4842,598csv/1484757/1500400,2.0,138.2051026,51.59331378,125.1216716,-5.909137451,0.51661918
4301,4301,598csv/1484752/1499798,4.0,133.691817,52.77419148,115.7253117,-2.200216931,0.688825573
2424,2424,598csv/1484737/1494473,2.0,118.5656469,51.56215799,143.4826105,0.135941753,0.51661918
1503,1503,598csv/1484729/1493510,25.0,124.6604862,62.19149948,150.1556844,0.001890894,0.688825573
